cash,fiscal_quarter,fiscal_year,period_end_date,revenue,shares_outstanding,ticker,total_debt
1552227.0,Q3,2020,2020-09-30,-11261000.0,,TNGX,
30020000.0,Q4,2025,2025-12-31,-139970000.0,37630206.0,TRS,505080000.0
15334000.0,Q4,2019,2019-12-31,-217230000.0,125600000.0,TTI,204633000.0
573882000.0,Q1,2025,2025-03-31,-31530000.0,103976437.0,TWO,1201733000.0
657816000.0,Q2,2025,2025-06-30,-14669000.0,104132453.0,TWO,1392957000.0
,Q1,2022,2022-03-31,-9538000.0,25000000.0,TXO,
4492291.0,Q4,2023,2023-06-30,-23402111.0,893943.0,UPXI,
129500000.0,Q3,2019,2019-09-30,-2000000.0,,VAL,6167800000.0
1505183000.0,Q2,2022,2022-06-30,-40629000.0,132450018.0,VIR,
170084000.0,Q3,2025,2025-09-30,-65000.0,139022594.0,VIR,100175000.0
274161000.0,Q1,2026,2026-03-31,-41000.0,161234058.0,VIR,95579000.0
31754000.0,Q4,2021,2021-12-31,-41759000.0,90941000.0,VRE,2389070000.0
12782000.0,Q3,2024,2024-09-30,-134816000.0,92893924.0,VRE,1677916000.0
35287200.0,Q3,2022,2022-09-30,-893000.0,6893708.0,VTGN,3558200.0
67131000.0,Q1,2025,2025-03-31,-15000.0,28996959.0,VTGN,1509000.0
98959000.0,Q4,2022,2022-12-31,-1549000.0,38356810.0,VYGR,
493000000.0,Q4,2020,2020-12-31,-55000000.0,93400000.0,WH,2597000000.0
230421424.0,Q3,2021,2021-09-30,-576602.0,129251351.0,WKHS,0.0
201647394.0,Q4,2021,2021-12-31,-851922.0,128676131.0,WKHS,0.0
11993.0,Q4,2019,2019-12-31,-32622.0,,WKSP,278938.0
310948000.0,Q3,2024,2024-09-30,-7676000.0,132563467.0,WVE,
19829275.0,Q4,2019,2020-03-31,-197346.0,,XAIR,4674423.0
228000000.0,Q4,2021,2021-12-31,-2243000000.0,114000000.0,XPO,3513000000.0
9284000.0,Q4,2022,2022-12-31,-1551000.0,23320.0,XTIA,13643000.0
5000.0,Q4,2023,2023-12-31,-2615000.0,15900.0,XTIA,18546000.0
2315000000.0,Q4,2021,2021-12-31,-946000000.0,261826000.0,Z,1319224000.0
2315000000.0,Q4,2021,2021-12-31,-946000000.0,261826000.0,ZG,1319224000.0
