accepted_at_utc,accepted_source_provider,capex,cash,created_at_utc,currency,derivation_method,ebit,ebitda,fiscal_quarter,fiscal_year,free_cashflow,gross_profit,net_income,operating_cashflow,operating_income,period_end_date,publish_date,quarter_id,resolution_issue_id,revenue,shares_outstanding,ticker,total_debt,update_run_id,updated_at_utc
2026-08-23T074231Z,LEGACY,-11298000.0,7660000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",3485000.0,,Q3,2018,2666000.0,19806000.0,16088000.0,13964000.0,3485000.0,2018-02-25,2018-04-03,46467,,144909000.0,27918000.0,LFCR,43535000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-24T09:24:02.702073+00:00,LEGACY,-12855000.0,2899000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG_LOW_SAMPLE_Q4"", ""q_applicability"": ""AUTO_STRONG_LOW_SAMPLE_Q4"", ""semantic_class"": ""SEMANTIC_A"", ""source_mode"": ""DERIVED_CANONICAL_EBIT_PLUS_SEC_DA"", ""statistical_class"": ""STAT_FAIL""}",8072000.0,11408000.0,Q4,2018,-13376000.0,24809000.0,6108000.0,-521000.0,8072000.0,2018-05-27,2018-07-31,46466,,141076000.0,27915000.0,LFCR,42300000.0,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-23T074231Z,LEGACY,-14440000.0,1359000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",-257000.0,,Q1,2019,-12254000.0,16337000.0,190000.0,2186000.0,-257000.0,2018-08-26,2018-10-02,46465,,124668000.0,28020000.0,LFCR,41065000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-23T074231Z,LEGACY,-4148000.0,1514000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",10000.0,,Q2,2019,-1531000.0,16885000.0,-585000.0,2617000.0,10000.0,2018-11-25,2019-01-03,46464,,124557000.0,27764000.0,LFCR,39829000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-23T074231Z,LEGACY,-14556000.0,1722000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",3242000.0,,Q3,2019,-1910000.0,21569000.0,1067000.0,12646000.0,3242000.0,2019-02-24,2019-04-03,46463,,155554000.0,29151000.0,LFCR,99428000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-24T09:24:02.702073+00:00,LEGACY,-11590000.0,1080000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG_LOW_SAMPLE_Q4"", ""q_applicability"": ""AUTO_STRONG_LOW_SAMPLE_Q4"", ""semantic_class"": ""SEMANTIC_A"", ""source_mode"": ""DERIVED_CANONICAL_EBIT_PLUS_SEC_DA"", ""statistical_class"": ""STAT_FAIL""}",2480000.0,7204000.0,Q4,2019,-13019000.0,26212000.0,-262000.0,-1429000.0,2480000.0,2019-05-26,2019-07-30,46462,,152780000.0,28607000.0,LFCR,96984000.0,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-23T074231Z,LEGACY,-9981000.0,1990000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",-4380000.0,,Q1,2020,-15420000.0,15336000.0,-4784000.0,-5439000.0,-4380000.0,2019-08-25,2019-10-01,46461,,,29139000.0,LFCR,94539000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-23T074231Z,LEGACY,-6048000.0,1594000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",-6036000.0,,Q2,2020,-15531000.0,15514000.0,-6740000.0,-9483000.0,-6036000.0,2019-11-24,2020-01-02,46460,,,29155000.0,LFCR,119193000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-23T074231Z,LEGACY,-6089000.0,2607000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",-15011000.0,,Q3,2020,4495000.0,20047000.0,-11518000.0,10584000.0,-15011000.0,2020-02-23,2020-03-31,46459,,,29170000.0,LFCR,116262000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-24T09:24:02.702073+00:00,LEGACY,-4568000.0,360000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG_LOW_SAMPLE_Q4"", ""q_applicability"": ""AUTO_STRONG_LOW_SAMPLE_Q4"", ""semantic_class"": ""SEMANTIC_A"", ""source_mode"": ""DERIVED_CANONICAL_EBIT_PLUS_SEC_DA"", ""statistical_class"": ""STAT_FAIL""}",-13110000.0,-8072000.0,Q4,2020,-17271000.0,24091000.0,-15149000.0,-12703000.0,-13110000.0,2020-05-31,2020-08-11,46458,,,29162000.0,LFCR,112917000.0,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-23T074231Z,LEGACY,-4623000.0,439000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",-10602000.0,,Q1,2021,12603000.0,5294000.0,-12410000.0,17226000.0,-10602000.0,2020-08-30,2020-10-06,46457,,,29242000.0,LFCR,104946000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-23T074231Z,LEGACY,-2784000.0,2476000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",1374000.0,,Q2,2021,-1349000.0,10774000.0,-11623000.0,1435000.0,1374000.0,2020-11-29,2021-01-06,46456,,,29280000.0,LFCR,93189000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-23T074231Z,LEGACY,-3976000.0,1853000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",73000.0,,Q3,2021,-11832000.0,10930000.0,-6978000.0,-7856000.0,73000.0,2021-02-28,2021-04-07,46455,,,29323000.0,LFCR,145051000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-24T09:24:02.702073+00:00,LEGACY,-7881000.0,1295000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG_LOW_SAMPLE_Q4"", ""q_applicability"": ""AUTO_STRONG_LOW_SAMPLE_Q4"", ""semantic_class"": ""SEMANTIC_A"", ""source_mode"": ""DERIVED_CANONICAL_EBIT_PLUS_SEC_DA"", ""statistical_class"": ""STAT_FAIL""}",11359000.0,15389000.0,Q4,2021,-3464000.0,14580000.0,-2866000.0,4417000.0,11359000.0,2021-05-30,2021-07-28,46454,,,29294000.0,LFCR,164902000.0,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-23T074231Z,LEGACY,-7913000.0,1447000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",-4223000.0,,Q1,2022,-6534000.0,5545000.0,-9509000.0,1379000.0,-4223000.0,2021-08-29,2021-09-29,46453,,,29424000.0,LFCR,123833000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-23T074231Z,LEGACY,-5097000.0,1091000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",4140000.0,,Q2,2022,-10234000.0,14715000.0,-38521000.0,-5137000.0,4140000.0,2021-11-28,2022-01-05,46452,,,29471000.0,LFCR,124194000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-23T074231Z,LEGACY,18539000.0,1101000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",-8567000.0,,Q3,2022,-31000.0,12866000.0,-13086000.0,-18570000.0,-8567000.0,2022-02-27,2022-04-05,46451,,,29482000.0,LFCR,95865000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
